"filename", "language", "YAML", "Markdown", "Swift", "Dart", "Gradle", "Java Properties", "C++", "XML", "JSON", "Kotlin", "comment", "blank", "total"
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\bloc\bloc_event.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\bloc\bloc_state.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\profile_page\profile_page.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\bloc\search_bloc.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\bloc\search_event.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\bloc\search_state.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_result_screen.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_screen.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\search_page\search_widgets.dart", "Dart", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 3, 11, 170
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\settings_page\settings_screen.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 6, 55
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\features\splahScreen_page\splash_screen.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\main.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 11, 6, 151
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\styles\styles.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 7, 9, 90
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\transitions\page_transisition.dart", "Dart", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\constants.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 6, 7, 61
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\secure_storage.dart", "Dart", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 8, 65
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\utils\utils.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\lib\widgets\commonWidget.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 54
"d:\Projects\college_projects\SIST_HUB\sist_hub_app\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 47, 13, 19, 3826, 90, 8, 1, 176, 166, 8, 286, 579, 5219
